MM,Tabla,ID,Time,Tipo,Tipo1,Tipo2,Tipo3,Tipo4,Descrip,Time_fin,Tiene_averias,Cantidad_averias,Tiempo_a_primer_averia
MM100003356,Medicion,123,2025-07-10,VLF,Aceptación,Prueba exitosa,,1,VLF-Prueba exitosa,2026-04-29,False,0,
MM100032036,Medicion,99990814,2025-04-30,TgDelta,Mantenimiento,Riesgo Moderado,Fase 1 (Verde);Fase 2 (Amarillo);Fase 3 (Rojo),1,TgDelta-Riesgo Moderado,2026-04-29,False,0,
MM101950490,Medicion,498,2025-12-11,VLF,Aceptación,Prueba exitosa,,2,VLF-Prueba exitosa,2026-04-14,True,2,5.0
MM101950490,Saneamiento,P/MB26-MEMM-00098,2026-04-14,Obra,60 - Cerrada,100.0,2026-04-14 00:00:00,OM,60 - Cerrada-OM-2026-04-14,2026-04-29,False,0,
MM17500709,Medicion,99990835,2025-05-12,TgDelta,Mantenimiento,Riesgo Alto,Fase 1 (Verde);Fase 2 (Amarillo);Fase 3 (Rojo),1,TgDelta-Riesgo Alto,2025-05-15,False,0,
MM17500709,Medicion,99990850,2025-05-15,TgDelta,Mantenimiento,Riesgo Alto,Fase 3 (Rojo),1,TgDelta-Riesgo Alto,2025-07-09,True,1,54.0
MM17500709,Medicion,120,2025-07-09,TgDelta,Mantenimiento,Riesgo Alto1,Fase 1 (Verde);Fase 2 (Amarillo);Fase 3 (Rojo),1,TgDelta-Riesgo Alto1,2025-12-12,False,0,
MM17500709,Saneamiento,P/MB25-MEMM-00099,2025-12-12,Obra,59 - Finalizada,100.0,2025-12-27 00:00:00,OM,59 - Finalizada-OM-2025-12-27,2025-12-22,False,0,
MM17500709,Medicion,522,2025-12-22,VCC,Aceptación,Prueba exitosa,,1,VCC-Prueba exitosa,2026-04-29,False,0,
MM17500963,Medicion,550,2026-01-11,TgDelta,Mantenimiento,Riesgo Bajo,,1,TgDelta-Riesgo Bajo,2026-01-11,False,0,
MM17500963,Medicion,549,2026-01-11,TgDelta,Mantenimiento,Riesgo Alto1,Fase 1 (Verde);Fase 2 (Amarillo),1,TgDelta-Riesgo Alto1,2026-01-12,False,0,
MM17500963,Medicion,552,2026-01-12,TgDelta,Mantenimiento,Riesgo Moderado,Fase 1 (Verde);Fase 3 (Rojo),1,TgDelta-Riesgo Moderado,2026-01-13,False,0,
MM17500963,Medicion,554,2026-01-13,TgDelta,Mantenimiento,Riesgo Alto1,Fase 1 (Verde);Fase 2 (Amarillo),1,TgDelta-Riesgo Alto1,2026-01-23,False,0,
